tag;id;titre;url;ancre
stats::map;p02-02;Du prior à la pénalité;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-02-prior-penalite.html;
stats::map;p02-03;Le posterior entier;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-03-conjugues-posterior.html;
stats::mle;p02-01;Du bruit à la loss;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-01-bruit-vraisemblance-loss.html;
stats::mle-map;p02-03;Le posterior entier;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-03-conjugues-posterior.html;
stats::multiplicite;b02;Le témoin atteignable;https://learnings-ek5.pages.dev/sheets/bridges/bridge-02-temoin-atteignable.html;
stats::multiplicite;p01-04;Comparer deux modèles, et pourquoi le max ment;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-04-comparer-modeles-multiplicite.html;
stats::multiplicite;w01-03;Le biais du max;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-03-biais-du-max.html;
stats::normale;p00-01;Lois usuelles — quelle situation déclenche quelle loi;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-01-lois-quand-laquelle.html#s6;s6
stats::normale;p00-04;Moyenne, loi des grands nombres, théorème central limite;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-04-moyenne-lgn-tcl.html#s6;s6
stats::poisson;p00-01;Lois usuelles — quelle situation déclenche quelle loi;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-01-lois-quand-laquelle.html#s4;s4
stats::procedure;w01-05;La chaîne du test en régression, hypothèse par hypothèse;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-05-chaine-test-regression-hypotheses.html;
stats::pvalue;p01-02;Intervalle de confiance et test;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-02-ic-test-procedure.html;
stats::pvalue;w01-05;La chaîne du test en régression, hypothèse par hypothèse;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-05-chaine-test-regression-hypotheses.html;
stats::regularisation;b05;Escalier vs sensible;https://learnings-ek5.pages.dev/sheets/bridges/bridge-05-escalier-vs-sensible.html;
stats::regularisation;p02-02;Du prior à la pénalité;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-02-prior-penalite.html;
stats::regularisation;p03-01;Critère en escalier vs critère sensible;https://learnings-ek5.pages.dev/sheets/chains/chain-p03-01-critere-escalier-vs-sensible.html;
stats::regularisation;w02-01;Une chaîne, trois exemples;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p02-01-une-chaine-trois-exemples.html;
stats::residus;p05-01;Régression linéaire, OLS, ce que R² ne dit pas;https://learnings-ek5.pages.dev/sheets/chains/chain-p05-01-regression-modele-ols.html#s5;s5
stats::se;p00-04;Moyenne, loi des grands nombres, théorème central limite;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-04-moyenne-lgn-tcl.html;
stats::tcl;p00-04;Moyenne, loi des grands nombres, théorème central limite;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-04-moyenne-lgn-tcl.html;
stats::tcl;p01-01;L'objet aléatoire;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-01-objet-aleatoire.html;
stats::variance;b04;La variance d'une moyenne corrélée;https://learnings-ek5.pages.dev/sheets/bridges/bridge-04-variance-moyenne-correlee.html;
stats::variance;p00-02;Espérance, variance, masse vs densité;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-02-esperance-variance-densite.html;
stats::vraisemblance;p02-01;Du bruit à la loss;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-01-bruit-vraisemblance-loss.html;
stats::vraisemblance;w02-01;Une chaîne, trois exemples;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p02-01-une-chaine-trois-exemples.html;
